inventory_id,fig_num,quantity
6912,fig-000034,1
6917,fig-000327,1
6917,fig-000484,1
6917,fig-000631,1
6917,fig-001108,1
6917,fig-002236,2
6917,fig-002237,1
6917,fig-002239,1
6917,fig-002240,1
6934,fig-000160,1
6951,fig-001145,1
6956,fig-002315,1
6956,fig-002316,1
6956,fig-002317,1
6956,fig-002318,1
6956,fig-002319,1
6956,fig-002320,1
6956,fig-002321,1
6956,fig-002322,1
6957,fig-000435,1
6970,fig-000976,1
6974,fig-000715,1
6985,fig-000393,1
6994,fig-000422,1
7001,fig-000210,1
7006,fig-000627,1
7029,fig-001478,1
7031,fig-000127,1
7038,fig-000358,1
7039,fig-000319,1
7041,fig-000134,1
7045,fig-000783,1
7057,fig-000737,1
7061,fig-000673,1
7064,fig-000663,1
7068,fig-000096,1
7100,fig-000497,1
7115,fig-000297,1
7116,fig-001412,1
7130,fig-000216,1
7132,fig-000240,3
7135,fig-000815,1
7137,fig-000859,1
7139,fig-000453,1
7149,fig-001054,1
7149,fig-002327,1
7166,fig-000537,1
7180,fig-001518,1
7194,fig-001207,1
7195,fig-000727,2
7204,fig-002156,1
7204,fig-002186,1
7204,fig-002187,1
7211,fig-000240,2
7224,fig-001370,1
7228,fig-000470,1
7242,fig-000363,1
7248,fig-000225,1
7253,fig-000925,1
7254,fig-000916,1
7255,fig-000797,1
7284,fig-000670,1
7288,fig-000644,1
7309,fig-001289,1
7313,fig-000372,1
7326,fig-001438,1
7330,fig-000292,1
7331,fig-001409,1
7332,fig-002292,1
7332,fig-002293,1
7338,fig-001214,1
7340,fig-001555,1
7357,fig-000634,1
7366,fig-000829,1
7369,fig-000031,1
7373,fig-000360,1
7377,fig-000441,1
7397,fig-000840,1
7397,fig-002446,1
7397,fig-002447,1
7408,fig-000689,1
7412,fig-000202,1
7418,fig-000534,1
7427,fig-001475,1
7448,fig-000890,1
7454,fig-001016,1
7466,fig-000724,1
7467,fig-000611,1
7470,fig-001510,1
7477,fig-000937,1
7486,fig-000335,1
7489,fig-000191,1
7501,fig-001166,1
7507,fig-000112,1
7520,fig-001335,1
7523,fig-001245,1
7527,fig-000788,1
7548,fig-000342,2
7550,fig-000898,1
7553,fig-000705,1
7555,fig-001504,1
7566,fig-000863,1
7573,fig-001175,1
7577,fig-000973,1
7579,fig-001137,1
7587,fig-000761,1
7588,fig-000684,1
7592,fig-001247,1
7602,fig-000622,1
7609,fig-001360,1
7610,fig-001242,1
7615,fig-001021,1
7622,fig-002319,1
7622,fig-002323,1
7637,fig-000661,1
7655,fig-000762,2
7665,fig-001231,1
7672,fig-000221,1
7683,fig-000546,1
7686,fig-000028,1
7688,fig-002289,1
7692,fig-001146,1
7701,fig-000114,1
7712,fig-001520,1
7716,fig-000114,1
7719,fig-000547,1
7731,fig-000113,1
7736,fig-000750,1
7751,fig-002290,1
7751,fig-002300,1
7751,fig-002301,1
7753,fig-000332,1
7758,fig-002366,1
7758,fig-002367,1
7759,fig-001182,1
7760,fig-001434,1
7760,fig-002743,1
7760,fig-002744,1
7760,fig-002745,1
7760,fig-002746,1
7764,fig-000993,1
7765,fig-000785,1
7776,fig-000657,1
7778,fig-000264,1
7792,fig-001469,1
7797,fig-000302,1
7817,fig-000020,1
7819,fig-000597,1
